,job_role,filing,salaries,date_posted,needed_date_range,location,posting_url
180,Manufacturing Quality Engineer (17-2112),6325902,$128649 ,"March 2, 2022",3-7-2022 to 3-6-2025,"Austin, TX",https://app-post.net/index.php/nof-c6325902/
181,Project/Program Manager,6084609,$151944 ,"March 1, 2022",4-27-2022 to 4-26-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6084609/
182,Engineering Project/ Program Manager 1,5927274,$167728 ,"March 1, 2022",3-10-2022 TO 3-9-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c5927274/
183,Software QE Engineer- Manager,6152206,$201000 ,"March 1, 2022",8-28-2022 to 8-27-2025,"San Diego, CA",https://app-post.net/index.php/notice-of-filing-c6152206/
184,Software Development Engineer – Firmware,6308666,$140908 ,"March 1, 2022",3-11-2022 to 3-10-2025,"Austin, TX",https://app-post.net/index.php/noticeoffiling-c6308666/
185,Engineering Project Manager,6265620,$150000 ,"March 1, 2022",8-31-2022 to 8-30-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6265620/
186,Software Development Engineer – Firmware,6227633,$231000 ,"March 1, 2022",8-31-2022 to 8-30-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6227633/
187,Software Development Engineer – Applications,6219960,$187866 ,"March 1, 2022",8-31-2022 to 8-30-2025,"San Diego, CA",https://app-post.net/index.php/noticeoffiling-c6219960/
188,Software Development Engineer – Firmware,6219955,$186700 ,"March 1, 2022",8-31-2022 to 8-30-2025,"San Diego, CA",https://app-post.net/index.php/noticeoffiling-c6219955/
189,Software Development Engineer,6198470,$173504 ,"March 1, 2022",8-31-2022 to 8-30-2025,"San Diego, CA",https://app-post.net/index.php/noticeoffiling-c6198470/
190,Software Development Engineer- Firmware ,6198420,$142085 ,"March 1, 2022",8-31-2022 to 8-30-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6198420/
191,Engineering Project Manager,6198409,$147500 ,"March 1, 2022",8-28-2022 to 8-27-2025,"San Diego, CA",https://app-post.net/index.php/noticeoffiling-c6198409/
192,Software Development Engineer – Firmware ,6198354,$140907 ,"March 1, 2022",8-31-2022 to 8-30-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6198354/
193,Software Development Engineer,6198306,$184080 ,"March 1, 2022",8-27-2022 to 8-26-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6198306/
194,Tools &Automation Engineer,6152166,$169884 ,"March 1, 2022",8-27-2022 to 8-26-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6152166/
195,Hardware Development Engineer,6152129,$206072 ,"March 1, 2022",3-14-2022 to 3-13-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6152129/
196,Global Supply Manager,6372374,$145000 ,"March 1, 2022",3-7-2022 to 3-6-2025,"Cupertino, CA and Columbus, IN",https://app-post.net/index.php/noticeoffiling-c6372374/
197,Strategic Sourcing Manager,6368595,$130000 ,"March 1, 2022",3-10-2022 to 3-9-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6368595/
198,Speaker System Tuning<br/>Engineer,----,$155000 ,"March 1, 2022",3-8-2022 to 3-7-2025,"Cupertino, CA",https://app-post.net/index.php/lca-nof-patil-sagar/
199,Software Development Engineer Manager (11-3021),6087559,$225000 ,"March 1, 2022",3-8-2022 to 3-7-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6087559/
200,Reliability Engineer Manager (11-3051,6084466,$177000 ,"March 1, 2022",08-30-2022 to 08-29-2024,"Coral Gables, FL",https://app-post.net/index.php/noticeoffilinf-c6084466/
201,Design Verification Engineer Manager (11-9041; Architectural and Engineering Managers),6084539,$248692 ,"March 1, 2022",3-8-2022 to 3-7-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6084539/
202,Sales Operations Analyst (13-2051),6235534,$137408 ,"March 1, 2022",3-7-2022 to 3-6-2025,"Cupertino, CA and Worcester, MA",https://app-post.net/index.php/noticeoffiling-c6235534/
203,Data Scientist Manager (11-9041),6084535,$253338 ,"March 1, 2022",3-14-2022 to 3-13-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6084535/
204,Test Engineer,6365522,$137000 ,"March 1, 2022",3-7-2022 to 3-6-2025,"Austin, TX",https://app-post.net/index.php/noticeoffiling-c6365522/
205,Digital Sculptor (27-1021),6376212,$215000 ,"February 28, 2022",3-8-2022 to 3-7-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6376212/
206,Business Process Reengineering Project Manager,6368518,$175000 ,"February 28, 2022",3-7-2022 to 3-6-2025,"Austin, TX",https://app-post.net/index.php/notice-of-filing-6368518/
207,Product Design Engineer (15-1121),6147929,$171000 ,"February 28, 2022",3-7-2022 to 3-6-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6147929/
208,PC Board Designer,6332942,$152580 ,"February 28, 2022",03-07-2022 to 03-06-2025,"Cupertino, CA",https://app-post.net/index.php/nof-c6332942/
209,Engineering Project Manager,6365448,$165000 ,"February 28, 2022",3-7-2022 to 3-6-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6365448/
210,Hardware Development Engineer,6330637,$285000 ,"February 28, 2022",8-30-2022 to 8-29-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6330637/
211,Product Quality Engineer,6363503,$170000 ,"February 28, 2022",8-29-2022 to 8-28-2025,"New York, NY",https://app-post.net/index.php/noticeoffiling-c6363503/
212,Software Development Engineer – Applications,6198382,$173000 ,"February 28, 2022",8-19-2022 TO 8-18-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6198382/
213,Data Scientist ,6227222,$176748 ,"February 28, 2022",03-07-2022 to 03-08-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6227222/
214,Product Design Engineer,6131058,$154112 ,"February 28, 2022",03-07-2022 to 03-06-2025,"Seattle, WA and Round Rock, TX",https://app-post.net/index.php/notice-of-filing-c6131058/
215,Software Development Engineer,6356023,$205000 ,"February 28, 2022",08-27-2022 to 08-26-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6356023/
216,Tools &Automation Engineer,6352514,$141000 ,"February 28, 2022",3-4-2022 to 3-3-2025,"San Diego, CA",https://app-post.net/index.php/noticeoffiling-c6352514/
217,Machine Learning Engineer (15-1199,6236602,$133547 ,"February 26, 2022",03-07-2022 to 03-06-2025,"Austin, TX and Norfolk, VA",https://app-post.net/index.php/noticeoffiling-c6236602/
218,Software Development Engineer – Systems,6244888,$195800 ,"February 26, 2022",3-7-2022 to 3-6-2025,"Austin, TX and Fremont, CA",https://app-post.net/index.php/noticeoffiling-c6244888/
219,Supply Demand Planner,6270157,$130000 ,"February 25, 2022",03-07-2022 to 03-06-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6270157/
220,Software Development Engineer – Applications,6200821,$165000 ,"February 25, 2022",03-07-2022 to 03-06-2025,"Austin, TX and Folsom, CA",https://app-post.net/index.php/notice-of-fililng-6200821/
221,NAND Packaging Engineer,6355972,$160000 ,"February 25, 2022",5-12-2022 to 5-11-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-6355972/
222,CPU Design Timing Engineer,6355927,$135000 ,"February 25, 2022",3-7-2022 to 3-6-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-6355927/
223,WW Supply Demand Manager,6101951,$230000 ,"February 25, 2022",03-03-2022 to 03-02-2025,"Orlando, FL and Gainesville, FL",https://app-post.net/index.php/noticeoffiling-c6101951/
224,HI Designer Manager ,6084503,$147000 ,"February 25, 2022",03-03-2022 to 03-02-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6084503/
225,Design Verification Engineer,6265040,$121626 ,"February 25, 2022",3-7-2022 to 3-6-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6265040/
226,Hardware Development Manager,6084493,$240774 ,"February 25, 2022",03-07-2022 to 03-08-2025,"Cupertino, CA and Boston, MA",https://app-post.net/index.php/noticeoffiling-c6084493/
227,Software Development Engineer,6365434,$160000 ,"February 25, 2022",03-07-2022 to 03-08-2025,"Cupertino, CA and Columbus, IN",https://app-post.net/index.php/noticeoffiling-c6365434/
228,Software Development Engineer,6359388,$179000 ,"February 25, 2022",03-07-2022 to 03-08-2025,"Cupertino, CA and Alpharetta, GA",https://app-post.net/index.php/noticeoffiling-c6359388/
229,Systems Design Engineer,6359193,$220000 ,"February 25, 2022",2-28-2022 to 2-27-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6359193/
230,Engineering Project Manager,6356076,$155000 ,"February 25, 2022",2-28-2022 to 2-27-2025,"Boulder, CO",https://app-post.net/index.php/noticeoffiling-c6356076/
231,Data Scientist,6352774,$130000 ,"February 25, 2022",2-28-2022 to 2-27-2025,"Cupertino, CA and Folsom, CA",https://app-post.net/index.php/noticeoffiling-c6352774/
232,Tools &Automation Engineer,6345664,$170000 ,"February 25, 2022",2-28-2022 to 2-27-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6345664/
233,"SoC Physical Design Engineer, PnR",6345701,$190000 ,"February 25, 2022",3-7-2022 to 3-6-2025,"Austin, TX",https://app-post.net/index.php/noticeoffiling-c6345701/
234,Software Development Engineer,6352626,$160000 ,"February 25, 2022",3-7-2022 to 3-6-2025,"Cupertino, CA and Seattle, WA",https://app-post.net/index.php/noticeoffiling-c6352626/
235,Software Development Engineer – Applications,6365502,$170000 ,"February 24, 2022",3-7-2022 to 3-6-2025,"Cupertino, CA and Chicago, IL",https://app-post.net/index.php/notice-of-filing-6365502/
236,Software Development Engineer – Applications (15-1132),6305235,$162510 ,"February 24, 2022",6-30-2022 to 6-29-2025,"Austin, TX",https://app-post.net/index.php/noticeoffiling-c6305235/
237,Technical Program Manager,6365554,$160000 ,"February 24, 2022",2-28-2022 to 2-27-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6365554/
238,Software Development Engineer – Applications,6227087,$165194 ,"February 24, 2022",3-7-2022 to 3-6-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6227087/
239,Software QE Engineering Manager,6084474,$176000 ,"February 24, 2022",6-17-2022 to 6-16-2025,"Austin, TX",https://app-post.net/index.php/noticeoffiling-c6084474/
240,Operations Engineer Management,6084606,$174306 ,"February 24, 2022",8-26-2022 to 8-25-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6084606/
241,Software Development Engineer – Test,6000493,$162872 ,"February 24, 2022",2-21-2022 to 2-20-2025,"San Diego, CA and Anaheim, CA",https://app-post.net/index.php/noticeoffiling-c6000493/
242,Software Integrity Engineer,6146001,$165000 ,"February 24, 2022",6-1-2022 to 5-31-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6146001/
243,Systems Design Engineer,6272119,$156330 ,"February 16, 2022",5-12-2022 to 5-11-2025,"Cupertino, CA",https://app-post.net/index.php/nof-c6272119/
244,Software Development Engineer,5966448,$291725 ,"February 3, 2022",8-5-2022 to 8-4-2025,"Austin, TX",https://app-post.net/index.php/notice-of-filing-c5966448/
245,Formal Validation Engineer,6248998,$187404 ,"February 3, 2022",8-5-2022 to 8-4-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6248998/
246,Software Development Engineer -Systems,6156775,$137478 ,"February 3, 2022",8-2-2022 to 8-1-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6156775/
247,Software Development Engineer,6152122,$202400 ,"February 3, 2022",8-1-2022 to 7-31-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6152122/
248,Software Development Engineer,6110690,$255748 ,"February 3, 2022",8-1-2022 to 7-31-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6110690/
249,Software Development Engineer,6087551,$224112 ,"February 3, 2022",7-29-2022 to 7-28-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6087551/
250,ASIC Design Engineer,6087536,$180032 ,"February 3, 2022",05-12-2022 to 05-11-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6087536/
251,Project/Program Manager,6082552,$151598 ,"February 3, 2022",5-12-2022 TO 5-11-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6082552/
252,Software Development Engineer – Applications,5927209,$184080 ,"February 3, 2022",6-1-2022 to 5-31-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c5927209/
253,Software Development Engineer – Applications,6256950,$152000 ,"February 3, 2022",8-1-2022 to 7-31-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6256950/
254,Engineering Project Manager,5966339,$192021,"February 3, 2022",2-7-2022 to 2-6-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c5966339/
255,Design Verification Engineer,6087558,$192476 ,"February 2, 2022",02-05-2022 TO 02-04-2025,"New York, NY",https://app-post.net/index.php/notice-of-filing-c6087558/
256,Data Scientist Manager,6254716,$288903 ,"February 2, 2022",8-1-2022 to 7-31-2025,"Sunnyvale, CA",https://app-post.net/index.php/notice-of-filing-c6254716/
257,Software Development Engineer – Applications,6150025,$174300 ,"February 2, 2022",8-1-2022 TO 7-31-2025,"Santa Clara, CA",https://app-post.net/index.php/notice-of-filing-c6150025/
258,Software Development Engineer – Applications,6087525,$197740 ,"February 2, 2022",8-1-2022 to 7-31-2025,"Sunnyvale, CA",https://app-post.net/index.php/notice-of-filing-c6087525/
259,Design Verification Engineer,6087523,$182290 ,"February 2, 2022",7-29-2022 to 7-28-2025,"San Diego, CA",https://app-post.net/index.php/notice-of-filing-c6087523/
260,Production Services Engineer,6087495,$203480 ,"February 2, 2022",05-07-2022 to 05-06-2025,"Sunnyvale, CA",https://app-post.net/index.php/notice-of-filing-c6087495/
261,Software Development Engineer – Firmware,6082541,$188718 ,"February 2, 2022",02-07-2022 to 02-06-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6082541/
262,Software Development Engineer – Applications,5974045,$181000 ,"February 2, 2022",7-1-2022 to 6-30-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c5974045/
263,Software Development Engineer,5731546,$221000 ,"February 2, 2022",7-29-2022 to 7-28-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c5731546/
264,Software Development Engineer- Systems,6024780,$190595 ,"February 1, 2022",8-3-2022 to 8-2-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6024780/
265,Software Development Engineer – Test,6082550,$145100 ,"February 1, 2022",8-3-2022 to 8-02-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6082550/
266,Hardware Development Engineer,6152152,$174500 ,"February 1, 2022",8-03-2022 to 8-02-2025,"Austin, TX",https://app-post.net/index.php/notice-of-filing-c6152152/
267,Power Engineer ,6152136,$194780 ,"February 1, 2022",8-03-2022 to 8-02-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6152136/
268,Software Development Engineer – Applications,6131080,$164000 ,"February 1, 2022",8-03-2022 to 8-02-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6131080/
269,Hardware Development Engineer ,6131078,$161418 ,"February 1, 2022",8-3-2022 to 8-02-2025,"Seattle, WA",https://app-post.net/index.php/notice-of-filing-c6131078/
270,Tools &Automation Engineer,6131077,$138187 ,"February 1, 2022",8-03-2022 to 8-02-2025,"San Diego, CA",https://app-post.net/index.php/notice-of-filing-c6131077/
271,Software Development Engineer,6131075,$178000 ,"February 1, 2022",8-3-2022 to 8-2-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6131075/
272,Software Development Engineer,6131056,$175200 ,"February 1, 2022",07-02-2022 to 07-01-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6131056/
273,Software Development Engineer,6110682,$178050 ,"February 1, 2022",8-1-2022 to 7-31-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6110682/
274,Hardware Systems Engineer,6096096,$159453 ,"February 1, 2022",2-5-2022 to 2-4-2025,"San Diego, CA",https://app-post.net/index.php/notice-of-filing-c6096096/
275,FE Engineer ,6087529,$184824 ,"February 1, 2022",8-03-2022 to 8-02-2025,"Dallas, TX",https://app-post.net/index.php/notice-of-filing-c6087529/
276,Tools &Automation Engineer,5521404,$149150 ,"February 1, 2022",5-12-2022 to 5-11-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c5521404/
277,Business Systems Analyst ,6145983,$108938 ,"February 1, 2022",2-7-2025 to 2-6-2025,"San Diego, CA",https://app-post.net/index.php/notice-of-filing-c614598/
278,Software Development Engineer,5291999,$147263 ,"February 1, 2022",7-15-2022 to 7-14-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c5291999/
279,Software Development Engineer – Systems,6249641,$196284 ,"February 1, 2022",5-3-2022 to 5-2-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6249641/
280,Machine Learning Engineer,6053897,$204500 ,"January 31, 2022",8-2-2022 to 8-1-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6053897/
281,Data Scientist ,6163009,$188000 ,"January 31, 2022",8-1-2022 to 7-31-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6163009/
282,ASIC Design Engineer,6156804,$170775 ,"January 31, 2022",8-2-2022 to 8-1-2025,"Sunnyvale, CA",https://app-post.net/index.php/notice-of-filing-c6156804/
283,Software Development Engineer,6156803,$179302 ,"January 31, 2022",8-2-2022 to 8-1-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6156803/
284,Software Development Engineer – Applications,6156798,$175325 ,"January 31, 2022",8-1-2022 to 7-31-2025,"Austin, TX",https://app-post.net/index.php/notice-of-filing-c6156798/
285,Hardware Development Engineer,6156791,$164000 ,"January 31, 2022",07-31-2022 to 07-30-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6156791/
286,Engineering Project Manager,6152212,$170000 ,"January 31, 2022",8-2-2022 to 8-1-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6152212/
287,Implementation Engineer,6152162,$194269 ,"January 31, 2022",8-01-2022 to 07-31-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6152162/
288,Tools &Automation Engineer,6101903,$180000 ,"January 31, 2022",8-1-2022 to 07-31-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6101903/
289,Software Development Engineer- Test,6096438,$194674 ,"January 31, 2022",8-1-2022 to 7-31-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6096438/
290,Production Services Engineer,6096298,$170693 ,"January 31, 2022",8-1-2022 to 7-31-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6096298/
291,Software Development Engineer – Applications,6087567,$200682 ,"January 31, 2022",8-1-2022 to 7-31-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6087567/
292,Engineering Project Manager,6087563,$172583 ,"January 31, 2022",7-28-2022 to 7-27-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6087563/
293,Software Development Engineer- Firmware,6087515,$184600 ,"January 31, 2022",7-27-2022 to 7-26-2025,"Sacramento, CA",https://app-post.net/index.php/notice-of-filing-c6087515/
294,ASIC Engineer,6082544,$168556 ,"January 31, 2022",7-15-2022 to 7-14-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6082544/
295,Software Development Engineer – Systems,6082538,$159930 ,"January 31, 2022",02-08-2022 to 02-07-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6082538/
296,Software Development Engineer – Systems,6053892,$191000 ,"January 31, 2022",5-12-2022 to 5-11-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6053892/
297,Software Development Engineer – Firmware Manager,5974202,$220070 ,"January 31, 2022",7-30-2022 to 7-29-2025,"Sunnyvale, CA",https://app-post.net/index.php/notice-of-filing-c5974202/
298,VLSI CAD Engineer,5068014,$145085 ,"January 31, 2022",2-7-2022 TO 2-6-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c5068014/
299,Software Development Engineer,6087555,$198000 ,"January 31, 2022",7-30-2022 to 7-29-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6087555/
300,Software Development Engineer – Test,6166331,$144821 ,"January 28, 2022",02-17-2022 to 02-16-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6166331/
301,Strategic Business Development,6082543,$163868 ,"January 28, 2022",2-7-2022 to 2-6-2025,"Seattle, WA",https://app-post.net/index.php/notice-of-filing-c6082543/
302,Software Development Engineer- Systems,6131079,$188500 ,"January 27, 2022",7-29-2022 to 7-28-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6131079/
303,Production Services Engineer,6131057,$152822 ,"January 27, 2022",7-29-2022 to 7-28-2025,"Santa Clara, Ca",https://app-post.net/index.php/notice-of-filing-c6131057/
304,Product Compliance Engineer,6125500,$155458 ,"January 27, 2022",2-7-2022 to 2-6-2025,"Cupertino, CA and Exton, PA",https://app-post.net/index.php/notice-of-filing-c6125500/
305,Systems Design Engineer ,6096450,$156330 ,"January 27, 2022",2-7-2022 to 2-6-2024,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6096450/
306,Software Development Engineer – Systems,6051858,$170000 ,"January 27, 2022",7-22-2022 to 7-21-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6051858/
307,Market Research Analyst,5987689,$152955 ,"January 27, 2022",06-14-2022 to 06-13-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c5987689/
308,Software Development Engineer,6069190,$221300 ,"January 27, 2022",2-7-2022 to 2-6-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6069190/
309,Machine Learning Engineer,6087557,$230000 ,"January 27, 2022",2-16-2022 to 2-15-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6087557-2/
310,Software QE Engineering Manager,6082551,$181125 ,"January 26, 2022",6-1-2022 to 5-31-2025,"Sunnyvale, CA",https://app-post.net/index.php/notice-of-filing-c6082551/
311,Software Development Engineering Manager,6084670,$215000 ,"January 26, 2022",7-28-2022 to 7-27-2025,"19319 Stevens Creek Boulevard, Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6084670/
312,ASIC Design Engineer,5966280,$172256 ,"January 26, 2022",2-01-2022 to 1-31-2025,"Cupertino, CA and Grand Prairie, TX",https://app-post.net/index.php/notice-of-filing-c5966280/
313,Software Development Engineer – Systems,6087501,$204900 ,"January 26, 2022",1-31-2022 to 1-30-2025,"Cupertino, CA and San Jose, CA",https://app-post.net/index.php/notice-of-filing-c6087501/
314,Software Development Engineer,6254541,$144445 ,"January 26, 2022",02-02-2022 to 02-01-2025,"Orlando, FL",https://app-post.net/index.php/notice-of-filing-c6254541/
315,Software Integrity Engineer ,6125852,$160000 ,"January 26, 2022",01-31-2022 to 01-30-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6125852-2/
316,Design Verification Engineer,6110700,$144165 ,"January 26, 2022",01-31-2022 to 01-30-2025,"Austin, TX",https://app-post.net/index.php/notice-of-filing-c6110700/
317,Software Development Engineer- Test Manager,6087533,$243532 ,"January 26, 2022",3-5-2022 to 3-4-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6087533/
318,Software Development Engineer- Application Manager,6053888,$196000 ,"January 26, 2022",6-1-2022 to 5-31-2025,"San Diego, CA",https://app-post.net/index.php/notice-of-filing-c6053888/
319,Software Development Engineer- Systems ,5854697,$203900 ,"January 26, 2022",2-2-2022 TO 2-1-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c5854697/
320,Software Development Engineer – Systems,6153528,$190238 ,"January 26, 2022",7-27-2022 to 7-26-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6153528/
321,Software Development Engineer – Firmware,6057960,$126500 ,"January 26, 2022",7-27-2022 to 7-26-2025,"Seattle, WA",https://app-post.net/index.php/notice-of-filing-c6057960/
322,Production Services Engineer,6131069,$163575 ,"January 26, 2022",7-27-2022 to 7-26-2025,"West Lake Hills, TX",https://app-post.net/index.php/notice-of-filing-c6131069/
323,Software Development Engineer,6110699,$179350 ,"January 25, 2022",07-27-2022 to 07-26-2025,"Los Angeles, CA",https://app-post.net/index.php/notice-of-filing-c6110699/
324,Implementation Engineer,6142807,$167468 ,"January 25, 2022",2-1-2022 to 1-31-2025,"Sunnyvale, CA",https://app-post.net/index.php/notice-of-filing-c6142807/
325,Software Development Engineer – Firmware,6131066,$158063 ,"January 25, 2022",7-26-2022 to 7-25-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6131066/
326,Software Development Engineer – Applications Manager,6110688,$199000 ,"January 25, 2022",7-15-2022 to 7-14-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6110688/
327,Software Development Engineer- Applications ,6096188,$199000 ,"January 25, 2022",7-8-2022 to 7-72025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6096188/
328,Software Development Engineer – Test,6152164,$174561 ,"January 14, 2022",7-1-2022 to 6-30-2025,"Cupertino, CA/ Dublin, CA",https://app-post.net/index.php/nof-c6152164/
329,FE Engineer,6131073,$163936 ,"January 7, 2022",12-15-2021 to 12-14-2023,"New  York, NY",https://app-post.net/index.php/notice-of-filing-c6024781-2/
330,Software Development Engineer – Applications,6024781,$181990 ,"January 7, 2022",06-10-2022 to 06-09-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6024781/
331,Software Development Engineer – Applications,6144052,$158000 ,"December 11, 2021",6-10-2022 to 6-09-2025,"Cupertino, CA",https://app-post.net/index.php/nof-c6144052/
332,Test Engineer (17-2131),6019151,$161577 ,"December 10, 2021",6-1-2022 to 5-31-2025,"Cupertino, CA",https://app-post.net/index.php/nof-c6019151-2/
333,Hardware Development Engineer (17-2072),6008072,$158800 ,"December 10, 2021",6-10-2022 to 6-09-2025,"Cupertino, CA",https://app-post.net/index.php/nof-case-6008072/
334,Engineering Project Manager (15-1199,5966466,$178000 ,"December 10, 2021",6-10-2022 to 6-09-2025,"Seattle,WA",https://app-post.net/index.php/nof-c5966466/
335,WW Supply Demand Manager (11-3051),5987434,$235000 ,"December 10, 2021",12-17-2021 to 12-16-2024,"Cupertino, CA",https://app-post.net/index.php/nof-case-5987434/
336,Software Development Engineer,6015256,$195100 ,"December 9, 2021",6-10-2022 to 6-09-2025,"Sunnyvale, CA",https://app-post.net/index.php/notice-of-filing-c6015256/
337,Production Services Engineer,6150106,$170000 ,"December 9, 2021",06-10-2022 to 06-09-2025,"Cupertino, CA",https://app-post.net/index.php/nof-c-6150106/
338,Software Development Engineer – Applications (15-1132),6024794,$168199,"December 9, 2021",12-17-2021 to 12-16-2024,"Austin, TX",https://app-post.net/index.php/nof-c6024794/
339,Test Engineer (17-2072),6019151,$161577 ,"December 9, 2021",12-17-2021 TO 12-16-2024,"New York, NY",https://app-post.net/index.php/nof-c6019151/
340,Production Services Engineer (15-1133),6149989,$166695 ,"December 9, 2021",5-12-2022 to 5-11-2025,"Cupertino, CA",https://app-post.net/index.php/nof-c-6149989/
341,Strategic Business Developer,6149965,$ 185400 ,"December 9, 2021",6-10-2022 to 6-9-2025,"Santa Clara, CA 95051",https://app-post.net/index.php/nof-c6149965/
342,Machine Learning Engineer (15-1133),5927198,$155200 ,"December 9, 2021",6-1-2022 to 5-31-2025,"Cupertino, CA",https://app-post.net/index.php/nof-c5927198/
