,job_role,filing,salaries,date_posted,needed_date_range,location,posting_url
58,Tools &Automation Engineer,6389617,$145000 ,"March 9, 2022",8-26-2022 to 8-25-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-6389617/
59,Software Development Engineer,6145998,$252800 ,"March 9, 2022",3-21-2022 to 3-20-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6145998/
60,Software Development Engineer,6392828,$225000 ,"March 9, 2022",3-14-2022 to 3-13-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-6392828/
61,Software Development Engineer,6385943,$225000 ,"March 9, 2022",3-21-2022 to 3-20-2025,"Cupertino, CA and Novi, MI",https://app-post.net/index.php/notice-of-filing-6385943/
62,Manufacturing Design Engineer,6396457,$140000 ,"March 9, 2022",3-21-2022 to 3-20-2025,"Austin, TX",https://app-post.net/index.php/notice-of-filing-6396457/
63,Data Engineer,6396432,$160000 ,"March 8, 2022",3-14-2022 to 3-13-2025,"Austin, TX and Livingston, NJ",https://app-post.net/index.php/notice-of-filing-6396432/
64,Project Manager,6389857,$165000 ,"March 8, 2022",3-21-2022 to 3-20-2025,"Seattle, WA",https://app-post.net/index.php/notice-of-filing-6389857/
65,Software Development Engineer,6393229,$165000 ,"March 8, 2022",3-14-2022 to 3-13-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-6393229/
66,Software Development Engineer – Data,6386578,$205000 ,"March 8, 2022",8-5-2022 to 8-4-2025,"Sunnyvale, CA",https://app-post.net/index.php/notice-of-filing-6386578/
67,Hardware Development Engineer,6096266,$180079 ,"March 8, 2022",9-1-2022 to 8-31-2025,"Cupertino, CA/ Tracy",https://app-post.net/index.php/notice-of-filing-c6096266/
68,Engineering Project Manager ,6152200,$192280 ,"March 8, 2022",8-1-2022 to 7-31-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6152200/
69,Design Verification Engineer,6087574,$195241 ,"March 8, 2022",8-26-2022 to 8-25-2025,"Santa Clara, CA",https://app-post.net/index.php/notice-of-filing-c6087574/
70,FE Engineer,6146008,$157982 ,"March 8, 2022",7-8-2022 to 7-7-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6146008/
71,Engineering Project Manager ,6039290,$151541 ,"March 8, 2022",8-19-2022 to 8-18-2025,"Sunnyvale, CA",https://app-post.net/index.php/notice-of-filing-c-6039290/
72,ASIC Design Engineer ,6131070,$174597 ,"March 8, 2022",8-1-2022 to 7-31-2025,"Sunnyvale, CA",https://app-post.net/index.php/notice-of-filing-c6131070/
73,Software Development Engineer – Systems,6087518,$200000 ,"March 8, 2022",9-1-2022 to 8-31-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6087518/
74,Tools &Automation Engineer ,6152185,$162047 ,"March 8, 2022",9-1-2025 to 8-31-2025,"San Francisco, CA",https://app-post.net/index.php/notice-of-filing-c6152185/
75,Software Development Engineer,6152123,$179700 ,"March 8, 2022",9-1-2022 to 8-31-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6152123/
76,Hardware Development Engineer,6152183,$177000 ,"March 8, 2022",8-15-2022 to 8-14-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6152183/
77,Data Scientist,6156770,$160000 ,"March 8, 2022",9-7-2022 to 9-6-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6156770/
78,Software Development Engineer – Applications,6236608,$202046 ,"March 8, 2022",9-1-2022 to 8-31-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6236608/
79,Software Development Engineer – Test,6225752,$189700 ,"March 8, 2022",9-2-2022 to 09-01-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6225752/
80,FE Engineer ,6156771,$165600 ,"March 8, 2022",03-29-2022 to 03-28-2025,"Sunnyvale, CA",https://app-post.net/index.php/noticeoffiling-c6156771/
81,Software Development Engineer – Applications,6371104,$171217 ,"March 8, 2022",3-22-2022 to 3-21-2025,"Sunnyvale, CA",https://app-post.net/index.php/noticeoffiling-c6371104/
82,Software Development Engineer Manager,6087502,$219000 ,"March 8, 2022",8-15-2022 to 8-14-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6087502/
83,ASIC Design Engineer,6152209,$222248 ,"March 8, 2022",8-3-2022 to 8-2-2025,"Sunnyvale, CA",https://app-post.net/index.php/noticeoffiling-c6152209/
84,Silicon Prototype Engineer,6156778,$143920 ,"March 8, 2022",9-1-2022 to 8-31-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6156778/
85,Hardware Development Engineer ,6172457,$202156 ,"March 8, 2022",8-12-2022 to 8-11-2025,"Santa Clara, CA",https://app-post.net/index.php/noticeoffiling-c6172457/
86,ASIC Design Engineer,6110697,$187506 ,"March 8, 2022",8-15-2022 to 8-14-2025,"Cupertino, CA",https://app-post.net/index.php/notice-of-filing-c6110697/
87,Software Development Engineer – Systems,6156782,$187400 ,"March 8, 2022",8-1-2022 to 7-31-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6156782/
88,Software Security Reviewer ,6087561,$193300 ,"March 8, 2022",8-15-2022 to 8-14-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c-6087561/
89,VLSI CAD Engineer,6152204,$180028 ,"March 8, 2022",3-18-2022 to 3-17-2025,"Cupertino, CA",https://app-post.net/index.php/noticeoffiling-c6152204/
